v_mean,v_std,v_min,v_max,v_rms,v_thd,v_crest,v_skew,f_dev_mean,f_std,f_min_dev,f_max_dev,f_roc_mean,f_roc_max,f_skew,f_range,p_mean,p_std,q_mean,s_mean,pf_mean,pf_std,p_max,p_min,i_mean,i_std,i_rms,i_thd,dt_mean,dt_std,missed_pkts,dt_max,label,attack_name,split
0.77395606,0.43887845,0.85859793,0.697368,0.09417735,0.97562236,0.7611397,0.7860643,0.12811363,0.45038593,0.37079802,0.92676497,0.6438651,0.8227616,0.4434142,0.22723871,0.5545848,0.063817255,0.8276312,0.6316644,0.75808775,0.35452595,0.970698,0.8931211,0.7783835,0.19463871,0.466721,0.043803766,0.1542895,0.68304896,0.7447622,0.96750975,5,Meas_Manipulation,train
0.32582536,0.3704597,0.46955582,0.18947136,0.12992151,0.47570494,0.22690935,0.669814,0.4371519,0.8326782,0.7002651,0.31236663,0.8322598,0.80476433,0.38747838,0.2883281,0.6824955,0.13975248,0.1999082,0.00736227,0.78692436,0.66485083,0.7051654,0.78072906,0.45891577,0.5687412,0.139797,0.11453007,0.66840297,0.47109622,0.5652361,0.76499885,0,Normal,train
0.6347183,0.5535794,0.55920714,0.3039501,0.030817835,0.4367174,0.21458468,0.40852866,0.8534031,0.23393948,0.05830274,0.2813839,0.29359376,0.6619165,0.55703217,0.78389823,0.66431355,0.40638685,0.8140204,0.16697292,0.022712072,0.09004786,0.72235936,0.46187723,0.16127178,0.50104475,0.1523121,0.69632035,0.44615626,0.38102123,0.3015121,0.6302826,1,FDI,train
0.36181262,0.08764992,0.1180059,0.9618977,0.9085807,0.69970715,0.26586998,0.96917635,0.7787509,0.7168902,0.4493615,0.27224156,0.09639096,0.9026024,0.4557763,0.20236337,0.30595663,0.5792196,0.17677279,0.8566143,0.75851953,0.71946293,0.43209305,0.62730885,0.584098,0.6498466,0.08444432,0.4158074,0.041614175,0.4939908,0.32986122,0.14452419,1,FDI,train
0.103402965,0.5876446,0.17059296,0.9251201,0.5810611,0.3468698,0.5909155,0.022803871,0.9585592,0.48230344,0.7827352,0.08273,0.48665833,0.49070698,0.93782645,0.57172805,0.4734894,0.26697567,0.331569,0.5206724,0.43891147,0.02161208,0.8262919,0.8961608,0.14024909,0.55403614,0.10857574,0.6722401,0.2812338,0.65942264,0.72699463,0.7686475,0,Normal,train
0.107740946,0.91601187,0.23021398,0.037412558,0.5548525,0.3709223,0.82978976,0.8082515,0.31713888,0.9528994,0.29091784,0.51505715,0.25596508,0.93604356,0.16460782,0.04491062,0.43509707,0.99237555,0.89167726,0.748608,0.8907925,0.8934466,0.5188584,0.31592906,0.7720124,0.66166127,0.37365773,0.09446667,0.74678963,0.26246053,0.9368132,0.24097058,0,Normal,train
0.122757934,0.8311127,0.15328431,0.17926832,0.5993828,0.874562,0.19643466,0.3103237,0.77740484,0.97182643,0.5007412,0.1438975,0.013936288,0.22965603,0.13182221,0.6776587,0.121832505,0.50632995,0.69426244,0.5811166,0.19977565,0.80412453,0.71540713,0.738984,0.13105775,0.1237538,0.92756253,0.39757818,0.30094868,0.48858404,0.6628642,0.95562327,0,Normal,train
0.2864462,0.92480844,0.024859492,0.555198,0.6339751,0.105897404,0.1403396,0.41911432,0.9662319,0.5960426,0.9330232,0.8043609,0.4673816,0.78476346,0.017836783,0.109143995,0.8294286,0.79681706,0.23264074,0.5307696,0.6060158,0.86773896,0.60310715,0.41257158,0.37418404,0.4258821,0.65193105,0.86749065,0.45389688,0.24783957,0.23666236,0.7460143,3,GPS_Spoofing,train
0.8165688,0.10527808,0.06655886,0.59443367,0.14617324,0.8246642,0.31033468,0.14387193,0.9209705,0.16553172,0.2847201,0.15361339,0.115490064,0.021148017,0.05539541,0.17464148,0.05338193,0.5911438,0.68071455,0.39363045,0.3179911,0.50452626,0.87500495,0.8511316,0.04347506,0.18149841,0.23674487,0.24938758,0.5712327,0.41626242,0.04925412,0.37361413,0,Normal,train
0.5237529,0.101671904,0.83345854,0.051961865,0.9248419,0.099113144,0.84357494,0.90265316,0.9795707,0.80202585,0.77947754,0.6424833,0.77899635,0.13455221,0.536068,0.51422286,0.85757214,0.46279937,0.3850895,0.63956326,0.2664633,0.1397684,0.47787726,0.41688937,0.23256995,0.3675118,0.36639246,0.32749557,0.3794641,0.68574333,0.29687646,0.9488579,1,FDI,train
0.91634804,0.48091042,0.3283612,0.5354348,0.8485605,0.65258735,0.8043918,0.5327223,0.63291764,0.28815562,0.73489314,0.20240459,0.6947981,0.8607191,0.13210283,0.61437976,0.095095746,0.72571564,0.08449322,0.93593985,0.13740793,0.95888025,0.8008842,0.593682,0.7826241,0.7951148,0.94602704,0.25338337,0.5900759,0.095049195,0.6161657,0.1712913,0,Normal,train
0.5649506,0.5724305,0.46598515,0.52263176,0.7639234,0.7992447,0.49215323,0.59959346,0.9312362,0.11973359,0.11710357,0.08770901,0.65786326,0.4186083,0.77432144,0.6712314,0.33363774,0.8983666,0.7625322,0.27053493,0.364192,0.31443998,0.15761165,0.14778337,0.9361275,0.43790403,0.38331982,0.7296857,0.55299306,0.93614,0.7803015,0.47936955,4,Replay,train
0.37635946,0.9866316,0.71776026,0.95119464,0.118478574,0.85053366,0.6370739,0.12192168,0.588258,0.6860964,0.0123026855,0.45431796,0.8253995,0.29535902,0.45854807,0.44231412,0.3019274,0.9184419,0.78129405,0.11058841,0.99703467,0.87920004,0.28390843,0.8368966,0.10641953,0.99910474,0.66568476,0.650125,0.09044073,0.8970334,0.028999504,0.24082805,3,GPS_Spoofing,train
0.14302188,0.77676797,0.19820423,0.9106382,0.656269,0.03616271,0.005429834,0.05165792,0.6059252,0.8014818,0.23855282,0.84940886,0.05723194,0.8009639,0.9277954,0.7721084,0.6981208,0.8379802,0.040151298,0.2017821,0.124923676,0.50453097,0.7451881,0.63001186,0.8511311,0.155213,0.7346211,0.19304149,0.27075875,0.7099047,0.98020476,0.6115436,5,Meas_Manipulation,train
0.054500315,0.616309,0.042350553,0.88414574,0.7095783,0.17312784,0.091721006,0.18353322,0.9800272,0.45856065,0.7840809,0.6364083,0.57241315,0.14513026,0.9460245,0.30134264,0.57801723,0.69977593,0.64923316,0.94059443,0.14843899,0.50835276,0.40403438,0.47416872,0.11921753,0.13409461,0.27807555,0.3047046,0.4279032,0.61098754,0.63462913,0.4118109,0,Normal,train
0.4087831,0.21762852,0.58830625,0.31704092,0.036059834,0.41840005,0.4741327,0.22559287,0.5724579,0.5657719,0.70200217,0.6479485,0.65243304,0.31621414,0.7874322,0.5491444,0.43141818,0.6260125,0.36065733,0.51273924,0.73670566,0.8864029,0.9210572,0.5036329,0.5202751,0.79987043,0.31445068,0.8373824,0.49414164,0.11585672,0.07205915,0.8419932,1,FDI,train
0.055567916,0.28061143,0.33413005,0.17299445,0.31389338,0.7426926,0.014682843,0.8271734,0.856548,0.37226158,0.1536129,0.6008404,0.11967256,0.36491936,0.95842916,0.99546444,0.7721049,0.3109615,0.68766505,0.70540637,0.3878417,0.64088863,0.010727645,0.20905766,0.5250883,0.1637513,0.16590686,0.8363043,0.989133,0.5559694,0.8390697,0.99032164,2,DoS,train
0.14159589,0.4482456,0.3925727,0.080049284,0.75533015,0.43377903,0.46932694,0.15067297,0.18092665,0.9071036,0.04464909,0.23285228,0.29205933,0.49019754,0.58644515,0.49328998,0.084115334,0.24366745,0.8435884,0.6375887,0.64914906,0.67020327,0.76290303,0.058108483,0.36660838,0.5395274,0.33845648,0.84447885,0.4825725,0.7686276,0.8520155,0.5047915,3,GPS_Spoofing,train
0.9095522,0.58712393,0.8502743,0.3405908,0.49881697,0.53141105,0.104979716,0.3985525,0.91733766,0.63083225,0.17750658,0.33885562,0.191603,0.024823131,0.92746043,0.44820732,0.30753508,0.5984772,0.007314456,0.2780221,0.70303345,0.63376975,0.9818059,0.6203577,0.47750586,0.7614326,0.9033279,0.720696,0.96321124,0.7820052,0.86680144,0.11410407,0,Normal,train
0.73241353,0.4400887,0.5531038,0.6541024,0.96981514,0.9845781,0.28822824,0.7337535,0.74998355,0.34649286,0.12386978,0.04094696,0.77734315,0.48969975,0.98554015,0.46497345,0.97791696,0.411576,0.79368216,0.08481927,0.5554617,0.80205977,0.9247017,0.8225831,0.036970727,0.37270233,0.048698474,0.10928229,0.6753056,0.7132582,0.7737207,0.8654565,1,FDI,train
0.73943144,0.8008716,0.04896371,0.23453516,0.62189776,0.8581253,0.004500125,0.51462936,0.6772874,0.029607289,0.40135556,0.8956349,0.6716128,0.23765837,0.8527811,0.34803143,0.8533447,0.29894364,0.5903202,0.39694008,0.27482504,0.8865576,0.18759368,0.08481159,0.34192693,0.71763915,0.8074316,0.99874336,0.29636204,0.40794194,0.13682128,0.57487196,2,DoS,train
0.99758005,0.700881,0.5952128,0.3923691,0.91529876,0.4969166,0.13436691,0.36537847,0.06716667,0.20197904,0.017668782,0.4532799,0.63454026,0.34329247,0.42038178,0.95920926,0.75196314,0.54085666,0.28454086,0.8969968,0.23509711,0.32534274,0.9090648,0.529542,0.742318,0.5907448,0.6534392,0.29938328,0.24137206,0.32249236,0.15544157,0.87431437,0,Normal,train
